"6894ebf0","Nephtan","2024-03-20T08:24:14-05:00","Update CloneOfflinePlayerCharacters.cs"
"481efd3b","Nephtan","2024-03-19T19:16:00-05:00","Update Citizens.cs"
"e9db039d","Nephtan","2024-03-19T19:15:15-05:00","Update StoreSalesList.cs"
"74b6ad9c","Nephtan","2024-03-19T13:18:42-05:00","Update CloneOfflinePlayerCharacters.cs"
"7a0be3e4","Nephtan","2024-03-19T13:17:48-05:00","Update CamperTent.cs"
"791d9231","Nephtan","2024-03-19T13:17:32-05:00","Update Afk.cs"
"5a913069","Nephtan","2024-03-18T09:39:14-05:00","Update Notoriety.cs"
"f59aed8b","Nephtan","2024-03-18T09:39:03-05:00","Update StoreSalesList.cs"
"e6bad574","Nephtan","2024-03-18T09:38:47-05:00","Update CloneOfflinePlayerCharacters.cs"
"365c4a54","Nephtan","2024-03-18T09:16:02-05:00","TestServer Merged into Main"
"271ee0e5","Nephtan","2024-03-05T22:47:33-06:00","Update StudyBook.cs"
"b643d088","Nephtan","2024-03-05T22:45:11-06:00","Update Behavior.cs"
"378c56fd","Nephtan","2024-03-05T20:59:26-06:00","Update StudyBook.cs"
"77f28347","Nephtan","2024-03-03T21:21:38-06:00","Update StudyBook.cs"
"d646ade3","Nephtan","2024-02-21T08:44:07-06:00","Update Behavior.cs"
"6996a4e0","Nephtan","2024-02-15T16:40:09-06:00","Update Notoriety.cs"
"08c26f79","Nephtan","2024-02-14T17:57:28-06:00","Update Notoriety.cs"
"7c580172","Nephtan","2024-02-14T11:11:08-06:00","Update Notoriety.cs"
"de3d7682","Nephtan","2024-02-14T11:09:23-06:00","Invasion Updates"
"a78bceee","Nephtan","2024-02-14T11:01:24-06:00","Update CityManagementStone.cs"
"8fc980d5","Nephtan","2024-02-08T16:25:00-06:00","Make Prison Champions Spawnable"
"c05fc84a","Nephtan","2024-02-05T16:01:10-06:00","Update XmlPoints.cs"
"84e3a028","Nephtan","2024-02-05T15:51:10-06:00","Update Notoriety.cs"
"be21e83c","Nephtan","2024-02-04T21:20:00-06:00","Added XmlPoints v1.24 System"
"f4e77ef7","Nephtan","2024-02-04T20:46:49-06:00","Update champ.xml"
"15e553a4","Nephtan","2024-02-04T20:44:41-06:00","Refactor CloneOfflinePlayerCharacters for Enhanced Readability and Error Handling"
"fbb34a98","Nephtan","2024-02-02T10:24:42-06:00","Added XML Extras/Examples"
"5562275b","Nephtan","2024-02-01T18:55:19-06:00","MonsterNests"
"680a671e","Nephtan","2024-02-01T18:53:15-06:00","Updated MonsterNests"
"5f3623b9","Nephtan","2024-01-31T17:52:56-06:00","Update Citizens.cs"
"9577b6ad","Nephtan","2024-01-31T16:40:34-06:00","XMLSpawner Update"
"7f4a8ec8","Nephtan","2024-01-31T16:37:12-06:00","Update CloneOfflinePlayerCharacters.cs"
"8da5de94","Nephtan","2024-01-31T16:35:13-06:00","Government System Updates"
"e198056b","Nephtan","2024-01-31T16:31:32-06:00","Invasion System Updates"
"0532694a","Nephtan","2024-01-31T16:29:33-06:00","Invasion System Updates"
"6e2c2bb1","Nephtan","2024-01-25T21:19:36-06:00","Update TownGuards.cs"
"e2aea94a","Nephtan","2024-01-25T18:34:55-06:00","Invasion System Refactor"
"7c66fe38","Nephtan","2024-01-19T10:42:32-06:00","Added Invasion System Framework"
"66470020","Nephtan","2024-01-25T21:19:36-06:00","Update TownGuards.cs"
"e7224985","Nephtan","2024-01-24T19:49:50-06:00","Prevent tames with breath weapons from damaging their masters by accident."
"eb288fdf","Nephtan","2024-01-09T12:49:57-06:00","Work-around Allowing Staff to Replace Improperly Deleted Cities"
"519a5cff","Nephtan","2023-12-22T10:34:41-06:00","Update towns.map"
"fa4f169e","Nephtan","2023-12-22T10:29:40-06:00","Automatic Standardizing of Code Formatting"
"b45a6614","Nephtan","2023-12-13T08:05:21-06:00","Update MagicPool.cs"
"0d1858e5","Nephtan","2023-11-26T16:31:17-06:00","AI Deactivation Delay"
"ce46ec71","Nephtan","2023-11-22T07:49:09-06:00","Update Random Encounter System"
"7ed1be4d","Nephtan","2023-12-11T09:48:18-06:00","Update AttributeHandler.cs"
"8c2ffa1b","Nephtan","2023-12-11T09:44:39-06:00","Update StudyBook.cs"
"421e5d6f","Nephtan","2023-11-22T08:01:51-06:00","Merge TestServer with Main Branch"
"a4a6afda","Nephtan","2023-11-22T07:49:09-06:00","Update Random Encounter System"
"bd32a0ee","Nephtan","2023-11-21T10:50:21-06:00","Update OilWood.cs"
"546b2a07","Nephtan","2023-11-19T19:35:59-06:00","Merge pull request #13 from Nephtan/hunger-gump-auto-update"
